# Dataset created from Psychol Med Author manuscript; available in PMC 2018 Oct 1; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6034513/

Country,Lifetime prevalence of PTSD in total sample (n),Lifetime prevalence of PTSD in total sample (%),Lifetime prevalence of PTSD in total sample (S.E.),Trauma exposure (n),Trauma exposure (%),Trauma exposure (S.E.),Lifetime prevalence of PTSD among exposed (n),Lifetime prevalence of PTSD among exposed (%),Lifetime prevalence of PTSD among exposed (S.E.),12-month prevalence of PTSD among exposed (n),12-month prevalence of PTSD among exposed (%),12-month prevalence of PTSD among exposed (S.E.),30-day prevalence of PTSD among exposed (n),30-day prevalence of PTSD among exposed (%),30-day prevalence of PTSD among exposed (S.E.),Sample size used
Low-lower middle income countries,394,2.1,0.2,8530,69.1,0.7,394,3,0.2,198,1.5,0.2,95,0.6,0.1,11862
Colombia,58,1.8,0.4,2068,82.7,1.4,58,2.2,0.5,25,0.7,0.2,6,0.2,0.1,2381
Iraq,140,2.5,0.2,2458,56,0.8,140,4.4,0.4,61,2,0.3,23,0.7,0.2,4332
Peru,22,0.7,0.1,1530,83.1,0.8,22,0.8,0.2,7,0.2,0.1,2,0.1,0.1,1801
PRC China,11,0.3,0.1,929,52.5,2.6,11,0.5,0.2,8,0.4,0.2,2,0.1,0.1,1628
Ukraine,163,4.8,0.6,1545,84.6,1.7,163,5.7,0.7,97,3.4,0.6,62,2,0.4,1720
Upper-middle income countries,602,2.3,0.1,11266,63.2,0.6,602,3.6,0.2,273,1.6,0.1,116,0.7,0.1,16913
Brazil,160,3.2,0.2,2330,73.8,1.5,160,4.3,0.3,81,2.1,0.3,35,0.9,0.2,2942
Bulgaria,73,1.9,0.3,776,28.6,1.3,73,6.5,1.1,45,4,0.6,27,2.8,0.6,2233
Colombia (Medellin),109,3.7,0.6,1387,75.1,2.6,109,4.9,0.8,39,1.3,0.3,9,0.3,0.1,1673
Lebanon,70,3.4,0.6,873,81.1,2.7,70,4.2,0.7,30,2.4,0.8,16,1.5,0.7,1031
Mexico,68,1.5,0.3,1818,68.8,1.8,68,2.1,0.4,29,0.8,0.2,15,0.3,0.1,2362
Romania,31,1.2,0.3,997,41.5,1.1,31,2.8,0.7,16,1.8,0.6,6,0.9,0.4,2357
South Africa,91,2.3,0.3,3085,73.8,1.2,91,3,0.4,33,1,0.2,8,0.2,0.1,4315
High income countries,3107,5,0.1,32001,72.4,0.4,3107,6.9,0.2,1615,3.6,0.1,817,1.9,0.1,42308
Australia,640,7.3,0.4,6519,76.2,0.7,640,9.6,0.5,382,5.8,0.3,216,3.3,0.3,8463
Belgium,51,2.7,0.5,710,65.8,3.1,51,4.1,0.8,22,1.2,0.2,9,0.3,0.1,1043
France,98,3.9,0.6,1071,72.7,2.3,98,5.4,0.7,58,3.2,0.6,23,1.4,0.4,1436
Germany,54,1.7,0.3,928,67.3,2.2,54,2.5,0.5,25,1,0.2,11,0.4,0.2,1323
Israel,73,1.6,0.2,3679,74.8,0.7,73,2.1,0.3,25,0.8,0.2,10,0.3,0.1,4859
Italy,65,2.4,0.6,1064,56.1,2.2,65,4.3,1,25,1.3,0.4,11,0.6,0.2,1779
Japan,38,1.3,0.2,1138,60.7,1.7,38,2.1,0.4,19,1.2,0.3,6,0.4,0.2,1682
New Zealand,828,6.1,0.3,6089,79.3,0.8,828,7.6,0.4,416,3.8,0.3,218,2.1,0.2,7312
Northern Ireland,238,8.8,0.7,1287,60.6,1.7,238,14.5,1.1,129,8.4,0.9,61,4,0.7,1986
Portugal,180,5.3,0.5,1548,69,1.7,180,7.7,0.7,77,3.3,0.5,32,1.4,0.3,2060
Spain,85,2.2,0.4,1284,54,1.7,85,4,0.8,35,1,0.2,16,0.3,0.1,2121
Spain (Murcia),65,2.8,0.5,942,62.4,1.9,65,4.5,0.7,26,1.4,0.4,16,0.7,0.1,1459
The Netherlands,90,4.4,0.8,788,65.6,2.8,90,6.7,1.2,50,4.1,1.1,27,1.6,0.5,1093
The USA,602,6.9,0.4,4954,82.7,0.9,602,8.3,0.5,326,4.3,0.3,161,2.1,0.2,5692
All countries combined,4103,3.9,0.1,51797,69.7,0.3,4103,5.6,0.1,2086,2.8,0.1,1028,1.4,0.1,71083
Region of the Americas,1019,3.8,0.2,14087,78.5,0.6,1019,4.8,0.2,507,2.2,0.1,228,1,0.1,16851
African Region,91,2.3,0.3,3085,73.8,1.2,91,3,0.4,33,1,0.2,8,0.2,0.1,4315
Western Pacific Region,1517,5.7,0.2,14675,74,0.5,1517,7.7,0.3,825,4.3,0.2,442,2.4,0.2,19085
Eastern Mediterranean Region,283,2.1,0.1,7010,67.5,0.6,283,3.2,0.2,116,1.4,0.2,49,0.6,0.1,10222
Western European Region,926,4,0.2,9622,63,0.7,926,6.3,0.3,447,2.9,0.2,206,1.3,0.1,14300
Eastern European Region,267,2.4,0.2,3318,48.7,1,267,4.9,0.5,158,3,0.4,95,1.8,0.3,6310
