#URL	https://www.ncbi.nlm.nih.gov/snp/rs3800373/download/frequency
#NCBI Reference SNP (rs) Report ALPHA	rs3800373
#Current Build	156
#Released	October 17, 2022
#Organism	Homo sapiens
#Position	chr6:35574699 (GRCh38.p14)
#Alleles	C>A / C>G
#Variation Type	SNV (Single Nucleotide Variation)
#Publications	99 citations
#
#Frequency Data Table
#################
#Study	Population	Group	Samplesize	Ref Allele	Alt Allele	BioProject ID	BioSample ID
TopMed	Global	Study-wide	264690	C=0.334996	A=0.665004	PRJNA400167	
Allele Frequency Aggregator	Total	Global	258226	C=0.288538	A=0.711462	PRJNA507278	SAMN10492705
Allele Frequency Aggregator	European	Sub	227472	C=0.281934	A=0.718066		SAMN10492695
Allele Frequency Aggregator	African	Sub	10172	C=0.41860	A=0.58140		SAMN10492703
Allele Frequency Aggregator	Other	Sub	8686	C=0.3007	A=0.6993		SAMN11605645
Allele Frequency Aggregator	Latin American 2	Sub	6636	C=0.3047	A=0.6953		SAMN10492700
Allele Frequency Aggregator	Asian	Sub	3850	C=0.2686	A=0.7314		SAMN10492704
Allele Frequency Aggregator	Latin American 1	Sub	1042	C=0.3052	A=0.6948		SAMN10492699
Allele Frequency Aggregator	South Asian	Sub	368	C=0.359	A=0.641		SAMN10492702
gnomAD - Genomes	Global	Study-wide	139984	C=0.322937	A=0.677063	PRJNA398795	SAMN07488253
gnomAD - Genomes	European	Sub	75880	C=0.26705	A=0.73295		SAMN10181265
gnomAD - Genomes	African	Sub	41878	C=0.42812	A=0.57188		SAMN07488254
gnomAD - Genomes	American	Sub	13644	C=0.32791	A=0.67209		SAMN07488255
gnomAD - Genomes	Ashkenazi Jewish	Sub	3318	C=0.2872	A=0.7128		SAMN07488252
gnomAD - Genomes	East Asian	Sub	3112	C=0.2725	A=0.7275		SAMN07488251
gnomAD - Genomes	Other	Sub	2152	C=0.3429	A=0.6571		SAMN07488248
The PAGE Study	Global	Study-wide	78698	C=0.36284	A=0.63716	PRJNA168052	SAMN10868975
The PAGE Study	AfricanAmerican	Sub	32514	C=0.42772	A=0.57228		SAMN10868721
The PAGE Study	Mexican	Sub	10810	C=0.30453	A=0.69547		SAMN10868735
The PAGE Study	Asian	Sub	8316	C=0.2348	A=0.7652		SAMN10868722
The PAGE Study	PuertoRican	Sub	7918	C=0.3520	A=0.6480		SAMN10868968
The PAGE Study	NativeHawaiian	Sub	4534	C=0.3946	A=0.6054		SAMN10868777
The PAGE Study	Cuban	Sub	4230	C=0.3142	A=0.6858		SAMN10868733
